No disposition;Nature mutation;Valeur fonciere;No voie;Code type de voie;Type de voie;Code voie;Voie;Code ID commune;Code postal;Commune;Code departement;Code commune;No plan;1er lot;Nombre de lots;Code type local;Type local;Surface reelle bati;Nombre pieces principales;
1;Vente;100000;4;0;RUE;910;GAY LUSSAC;2429;78800;HOUILLES;78;311;610;52;1;2;Appartement;22;1;
1;Vente;100000;3;0;RUE;222;DE FONT NEUVE;237;7800;LA-VOULTE-SUR-RHONE;07;349;175;55;2;2;Appartement;81;5;
1;Vente;100000;14;0;RUE;180;DE LA CLARTE;459;22700;PERROS-GUIREC;22;168;58;90;2;2;Appartement;30;2;
1;Vente;100000;14;1;AV;740;DU VICE AMIRAL HALGAN;1340;44480;DONGES;44;052;198;3;2;2;Appartement;104;4;
1;Vente;100000;495;1;AV;173;DU SERRAT DE L OURS;1896;66210;BOLQUERE;66;020;41;1313;1;2;Appartement;24;2;
1;Vente;100000;38;1;AV;555;FAMILLE JOUVE;2679;84300;CAVAILLON;84;035;351;17;2;2;Appartement;52;3;
1;Vente;100000;780;0;RUE;90;DE LA REPUBLIQUE;43;1550;FARGES;01;158;153;1;1;2;Appartement;60;2;
1;Vente;100000;170;0;RUE;680;DES TERREAUX;9;1170;GEX;01;173;654;3;1;2;Appartement;33;2;
1;Vente;100000;9001;5;CHE;100;DE BAGATELLE;368;14360;TROUVILLE-SUR-MER;14;715;14;3018;1;2;Appartement;26;1;
1;Vente;100000;59;1;AV;380;DU MARECHAL LECLERC;985;35310;MORDELLES;35;196;364;15;1;2;Appartement;40;2;
1;Vente;100000;4;0;RUE;1005;DU DOCTEUR CALMETTE;1718;60200;COMPIEGNE;60;159;50;11;1;2;Appartement;63;3;
1;Vente;100000;6;1;AV;130;GEORGES BATAILLE;1763;60330;LE PLESSIS BELLEVILLE;60;500;241;114;1;2;Appartement;32;1;
1;Vente;100000;9001;0;RUE;340;GEORGES LADOIRE;1947;69320;FEYZIN;69;276;152;265;2;2;Appartement;75;4;
1;Vente;100000;9005;43;CITE;A004;LA GARENNE A BREFAUT;2413;78190;TRAPPES;78;621;235;203;2;2;Appartement;51;3;
1;Vente;100000;3;0;RUE;150;DES NOBLETS;2874;91770;SAINT-VRAIN;91;579;265;1;2;2;Appartement;31;1;
1;Vente;100000;21;0;RUE;40;HAUTE;1564;54200;PIERRE-LA-TREICHE;54;426;327;6;2;2;Appartement;98;2;
1;Vente;100000;2;8;;C021;LA ROSELIERE;2074;72220;SAINT MARS D OUTILLE;72;299;49;2;1;1;Maison;106;6;
1;Vente;100000;77;0;RUE;965;SIMONE WEIL;1142;39000;LONS LE SAUNIER;39;300;252;131;2;2;Appartement;63;3;
1;Vente;100000;40;0;RUE;690;DES ILLIEUX;2557;80300;ALBERT;80;016;528;130;1;2;Appartement;57;3;
1;Vente;100000;831;3;RTE;2240;DE NICE;204;6600;ANTIBES;06;004;135;164;1;2;Appartement;21;1;
1;Vente;100000;89;1;AV;3620;DE FRONTON;730;31200;TOULOUSE;31;555;248;2;1;2;Appartement;91;2;
1;Vente;100000;52;0;RUE;370;RENE LANGLOIS;574;28110;LUCE;28;218;88;4;2;2;Appartement;75;4;
1;Vente;100000;74;15;BD;8208;RICHARD LENOIR;3203;75011;PARIS 11;75;111;40;2;1;2;Appartement;22;1;
1;Vente;100000;15;0;RUE;1310;OSCAR GRINDEL;2236;76400;FECAMP;76;259;437;1;1;1;Maison;23;0;
1;Vente;100000;47;0;RUE;6185;DU MOUTIER;2989;93300;AUBERVILLIERS;93;001;66;25;1;2;Appartement;15;1;
1;Vente;100000;14;39;VC;163;LE BOULOIR;367;14600;HONFLEUR;14;333;863;6;1;2;Appartement;32;2;
1;Vente;100000;9;0;RUE;4225;JACQUES LOUER;2229;76600;LE HAVRE;76;351;75;9;1;2;Appartement;52;1;
1;Vente;100000;4774;8;;1219;ANCIEN CHEM DE TOULON;2635;83110;SANARY SUR MER;83;123;672;2228;1;2;Appartement;22;1;
1;Vente;100000;35;0;RUE;4317;LARMODIEU;2625;83000;TOULON;83;137;714;6;1;2;Appartement;49;2;
1;Vente;100000;2;12;PL;2623;OLIVIER DE SERRES;564;28000;CHARTRES;28;085;62;20;2;2;Appartement;50;2;
1;Vente;100000;53;0;RUE;2570;DU LAIT DE BEURRE;1435;49300;CHOLET;49;099;568;12;2;2;Appartement;72;3;
1;Vente;100000;21;1;AV;809;DU BEL AIR;3204;75012;PARIS 12;75;112;34;14;1;2;Appartement;11;1;
1;Vente;100000;10;15;BD;2113;DE CLICHY;3210;75018;PARIS 18;75;118;114;51;1;2;Appartement;9;1;
1;Vente;100000;6;1;AV;360;CARNOT;2891;91410;DOURDAN;91;200;501;4;2;2;Appartement;32;2;
1;Vente;100000;37;0;RUE;1830;EMILE EUDES;302;11100;NARBONNE;11;262;619;112;1;2;Appartement;60;3;
1;Vente;100000;77;0;RUE;190;DE FRANCHEPRE;1540;54240;JOEUF;54;280;339;3;1;2;Appartement;90;3;
1;Vente;100000;14;0;RUE;3190;DE KERJULAUDE;1582;56100;LORIENT;56;121;824;23;1;2;Appartement;62;3;
1;Vente;100000;148;15;BD;1300;DE LAVAL;1028;35500;VITRE;35;360;108;3;1;2;Appartement;60;3;
1;Vente;100000;5257;8;;B023;COMMUNAL DE L ENVERS PRAPO;1091;38190;LES ADRETS;38;002;12;321;1;2;Appartement;37;2;
1;Vente;100000;73;0;RUE;460;PASTEUR;1712;60140;LIANCOURT;60;360;3;9;1;1;Maison;110;5;
1;Vente;100000;2694;3;RTE;680;DE STRASBOURG;1914;69140;RILLIEUX-LA-PAPE;69;286;347;7;1;2;Appartement;62;3;
1;Vente;100000;21;0;RUE;460;PHILIBERT GAILLARD;1918;69270;COUZON-AU-MONT-D OR;69;068;448;17;1;2;Appartement;68;2;
1;Vente;100000;9;35;PAS;9615;DES VARENNES;3061;94300;VINCENNES;94;080;44;113;1;2;Appartement;17;1;
1;Vente;100000;57;8;;B199;LE DOMAINE DE LA MER;1475;50580;PORT-BAIL-SUR-MER;50;412;2;57;1;1;Maison;30;2;
1;Vente;100000;20;12;PL;640;JEAN BUREAU;2342;77100;MEAUX;77;284;2;646;1;2;Appartement;37;1;
1;Vente;100000;5;15;BD;722;PAUL VALERY;910;34140;MEZE;34;157;348;78;1;2;Appartement;34;2;
1;Vente;100000;8;15;BD;1625;DU MASSACRE;1282;44800;ST-HERBLAIN;44;162;744;721;2;2;Appartement;54;3;
1;Vente;100000;3;0;RUE;6110;DES MACONS;3037;94310;ORLY;94;054;294;136;1;2;Appartement;34;2;
1;Vente;100090;145;0;RUE;7099;DES POSTES;1627;59000;LILLE;59;350;7;7;1;2;Appartement;30;1;
1;Vente;100100;8;2;ALL;1480;DE GASCOGNE;1286;44400;REZE;44;143;28;26;1;2;Appartement;68;4;
1;Vente;100200;13;0;RUE;885;DE CHERBOURG;601;29200;BREST;29;019;95;5;2;2;Appartement;65;4;
1;Vente;100225;42;4;CRS;57;DU DANUBE;2349;77700;SERRIS;77;449;144;52;1;2;Appartement;31;2;
1;Vente;100311;153;1;AV;3659;DE FLANDRE;3212;75019;PARIS 19;75;119;50;1071;1;2;Appartement;20;1;
1;Vente;100500;7;12;PL;3;DE L  EGLISE;231;7700;SAINT-JUST-D'ARDECHE;07;259;340;2;1;2;Appartement;61;3;
1;Vente;100500;7;10;IMP;1860;DE L EPI;2658;84000;AVIGNON;84;007;595;23;1;2;Appartement;18;1;
1;Vente;100500;5005;69;CASR;A093;DE LA BARRE;1813;62500;SAINT OMER;62;765;491;138;1;2;Appartement;94;4;
1;Vente;100500;6;0;RUE;2192;COMMANDANT ARNAUD;1488;51100;REIMS;51;454;402;201;2;2;Appartement;103;5;
